Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Previous Years (2001-2020) - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022- Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022- Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022- Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022- Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022- Installations Quantity,May 2022 - SGU Rated Output In kW,June 2022- Installations Quantity,June 2022 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
800,106,2547.09,0,0,1,35.2,1,6.63,1,6.66,2,41.58,1,61.05,2,64.38,0,0,1,62.7,0,0,0,0,3,182.22,0,0,0,0,0,0,0,0,0,0,0,0,118,3007.51
801,8,234.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,277.098
803,2,11.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.685
804,15,78.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,78.31
811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
813,7,85.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,85.549
814,3,13.06,0,0,1,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18.24
821,7,156.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,156.303
829,34,872.38,2,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,899.98
831,9,38.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38.98
837,60,574.521,0,0,0,0,0,0,1,9.25,1,9.24,1,14.8,0,0,0,0,0,0,0,0,1,12.58,0,0,0,0,0,0,0,0,0,0,1,9,0,0,65,629.521
838,118,901.642,0,0,1,34.65,0,0,1,9.1,1,9.25,1,6.6,1,9.24,1,9.25,1,9.1,1,23,1,11.1,1,10.36,0,0,0,0,1,6.66,2,16,2,22,0,0,133,1078.432
839,21,424.525,1,6.6,0,0,0,0,0,0,2,44.405,0,0,0,0,0,0,0,0,0,0,0,0,1,99.5,0,0,0,0,1,99.9,2,18,1,7,0,0,29,699.35
840,109,672.285,0,0,2,8.48,1,9.24,0,0,0,0,0,0,0,0,2,15.71,2,13.26,3,22.5,1,9.99,1,13.32,2,15.91,1,6.585,0,0,0,0,0,0,0,0,124,787.28
845,70,584.236,0,0,1,8.25,1,6.6,1,6.65,1,8.58,1,5.76,0,0,0,0,0,0,0,0,0,0,0,0,1,9.24,0,0,0,0,0,0,3,20,0,0,79,649.296
846,44,298.35,0,0,0,0,1,6.6,0,0,1,6.66,1,6.6,0,0,1,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,49,326.85
847,21,265.305,0,0,0,0,0,0,1,6.6,0,0,0,0,2,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,283.005
851,46,325.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,47,364.375
853,1,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52.97
854,13,159.195,0,0,0,0,2,46.45,0,0,0,0,0,0,0,0,0,0,1,8.88,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,234.025
860,120,697.059,0,0,0,0,2,39.44,0,0,0,0,4,21.12,9,83.45,1,6.66,7,66.6,1,9.25,0,0,1,99.9,0,0,1,4.44,0,0,0,0,0,0,0,0,146,1027.919
861,21,121.595,0,0,0,0,0,0,0,0,0,0,3,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,136.115
862,33,366.59,0,0,0,0,0,0,0,0,1,10.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,377.315
871,57,407.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,411.82
872,169,1983.577,0,0,5,157.72,11,136.565,11,56.85,3,124.88,3,15.54,1,4.07,5,31.02,2,5.28,2,101.88,2,54.6,2,7.4,0,0,2,36.97,2,63.68,2,52,0,0,0,0,222,2832.412
873,132,989.069,1,9,1,6.63,0,0,1,6.66,3,19.98,0,0,0,0,0,0,0,0,1,12.64,2,25.58,6,47.36,0,0,0,0,1,13.14,1,7,0,0,0,0,149,1136.719
874,17,134.56,0,0,0,0,0,0,1,6.29,0,0,1,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.66,1,6.66,0,0,0,0,0,0,21,160.83
875,125,800.596,0,0,4,26.84,0,0,2,14.43,2,13.32,2,13.32,0,0,0,0,4,26.64,5,41.85,1,27.88,5,52.24,0,0,0,0,1,6.66,3,28,0,0,0,0,154,1051.956
880,23,239.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,239.201
881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107.73
885,13,598.6,0,0,0,0,0,0,0,0,0,0,0,0,16,142.08,0,0,0,0,0,0,1,30.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,771.64
886,10,151.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,11,171.69
1340,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1355,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02
1435,1,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1460,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1470,2,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.81
1475,3,11.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.985
1480,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88
1485,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1490,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.51
1495,2,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.23
1560,1,5.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.025
1570,2,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15
1595,3,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.7
1630,7,33.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33.785
1640,2,15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.075
1655,3,17.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.845
1658,1,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04
1660,2,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.1
1670,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44
1680,2,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.38
1685,0,0,0,0,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8
