Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.46,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,4,4.46
0200,1,0.08,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,0.08
0800,106,2547.09,0,0.00,1,35.20,1,6.63,1,6.66,2,41.58,1,61.05,2,64.38,0,0.00,1,62.70,0,0.00,0,0.00,3,182.22,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,118,3007.51
0801,8,234.86,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,42.24,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,10,277.10
0803,2,11.69,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,11.69
0804,15,78.31,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,15,78.31
0810,3226,20617.71,11,121.91,21,187.59,32,224.85,15,144.25,25,165.53,16,135.63,22,205.95,16,175.32,14,92.88,32,225.87,23,236.40,24,336.65,7,152.64,18,138.16,20,145.59,21,240,19,140,16,141,4,48.41,3582,23876.04
0811,2,9.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,9.00
0812,1773,10790.74,15,179.89,17,110.93,10,67.27,11,100.20,16,195.30,7,65.52,16,108.59,9,67.55,7,43.89,9,80.46,19,133.27,14,98.01,9,152.27,13,90.02,13,104.50,8,62,7,47,6,46,8,62.05,1987,12605.25
0813,7,85.55,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,7,85.55
0814,3,13.06,0,0.00,1,5.18,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,4,18.24
0820,1060,10961.64,6,49.88,14,247.49,14,151.98,9,68.90,8,81.73,13,117.58,15,137.00,9,64.57,9,82.20,14,176.41,11,206.76,10,101.08,2,15.60,5,37.37,15,297.58,9,62,9,117,7,63,2,15.17,1241,13054.67
0821,7,156.30,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,7,156.30
0822,868,9149.64,6,53.99,5,48.30,7,158.07,7,66.30,11,134.88,7,88.84,6,102.56,6,98.19,9,117.73,10,111.91,16,186.51,13,201.22,2,13.26,9,76.00,8,95.52,6,94,11,102,4,32,9,77.71,1020,11008.30
0828,221,3236.36,1,6.66,9,127.34,9,140.42,8,52.64,4,33.09,7,43.85,6,39.27,2,15.70,3,53.59,2,15.90,4,79.80,6,137.60,2,46.56,4,28.43,2,13.29,1,9,8,133,2,13,0,0.00,301,4225.79
0829,34,872.38,2,18.50,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,9.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,37,899.98
0830,1907,12038.42,16,153.72,22,138.56,15,124.72,4,29.09,14,101.03,11,71.92,12,122.57,10,78.26,16,107.58,21,162.25,20,233.72,22,157.55,8,74.18,13,146.68,19,132.14,9,64,16,129,13,98,5,43.04,2173,14205.33
0831,9,38.98,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,9,38.98
0832,2217,13227.37,23,147.39,27,168.35,23,153.195,11,77.46,19,202.18,24,181.88,27,206.65,21,190.44,22,153.62,33,211.84,37,262.92,24,172.35,12,82.87,15,102.25,32,218.69,17,127,16,133,23,164,9,73.44,2632,16257.32
0834,225,1608.53,2,21.97,2,15.10,3,21.685,1,6.63,2,39.07,3,23.88,2,40.30,1,10.56,3,31.24,1,15.20,6,49.87,3,29.82,1,9.25,2,28.31,1,13.26,0,0,2,18,2,17,1,4.44,263,2004.04
0835,481,3186.51,2,15.90,4,32.13,3,11.45,0,0.00,7,48.10,2,19.00,2,13.32,3,28.57,5,49.60,3,18.84,6,132.04,6,48.49,0,0.00,6,54.54,3,35.88,2,23,2,28,1,8,2,19.98,540,3774.46
0836,1141,7816.48,4,26.75,10,69.17,9,117.47,5,29.67,7,60.61,5,48.06,5,50.76,7,80.67,7,57.30,8,67.45,16,147.14,13,112.21,1,10.78,9,76.73,20,183.73,13,131,10,102,10,110,2,10.07,1302,9307.46
0837,60,574.52,0,0.00,0,0.00,0,0,1,9.25,1,9.24,1,14.80,0,0.00,0,0.00,0,0.00,0,0.00,1,12.58,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,9,0,0,0,0.00,65,629.52
0838,118,901.64,0,0.00,1,34.65,0,0,1,9.10,1,9.25,1,6.60,1,9.24,1,9.25,1,9.10,1,23.00,1,11.10,1,10.36,0,0.00,0,0.00,2,14.43,2,16,2,22,0,0,0,0.00,134,1086.20
0839,21,424.53,1,6.60,0,0.00,0,0,0,0.00,2,44.41,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,99.50,0,0.00,0,0.00,1,99.90,2,18,1,7,0,0,0,0.00,29,699.35
